Unit,Year,Months,Business Value in K,Performance Sector,Country,Profit in K
Manufacturing & Other Industry,2004,Qtr 1,"53,997",Business enterprise sector,Ireland,300
Manufacturing & Other Industry,2004,Qtr 2,"63,619",Business enterprise sector,Ireland,575
Manufacturing & Other Industry,2004,Qtr 3,"71,061",Business enterprise sector,Ireland,150
Manufacturing & Other Industry,2004,Qtr 4,"45,206",Business enterprise sector,Ireland,200
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 1,"74,036",Business enterprise sector,Ireland,400
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 2,"36,255",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 3,"33,249",Business enterprise sector,Ireland,200
"Agriculture, Fishing, Forestry, Mining & Quarrying",2004,Qtr 4,"19,599",Business enterprise sector,Ireland,400
"Computer, Electronic & Optical Products",2004,Qtr 1,"59,222",Business enterprise sector,Ireland,475
"Computer, Electronic & Optical Products",2004,Qtr 2,"75,081",Business enterprise sector,Ireland,625
"Computer, Electronic & Optical Products",2004,Qtr 3,"53,964",Business enterprise sector,Ireland,200
"Computer, Electronic & Optical Products",2004,Qtr 4,"62,510",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2004,Qtr 1,"43,439",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2004,Qtr 2,"18,834",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2004,Qtr 3,"64,267",Business enterprise sector,Ireland,225
"Food, Drink & Tobacco",2004,Qtr 4,"61,761",Business enterprise sector,Ireland,300
"Textiles, Clothing, Footware & Leather",2004,Qtr 1,"83,384",Business enterprise sector,Ireland,400
"Textiles, Clothing, Footware & Leather",2004,Qtr 2,"43,295",Business enterprise sector,Ireland,875
"Textiles, Clothing, Footware & Leather",2004,Qtr 3,"51,296",Business enterprise sector,Ireland,250
"Textiles, Clothing, Footware & Leather",2004,Qtr 4,"73,858",Business enterprise sector,Ireland,475
Manufacturing & Other Industry,2005,Qtr 1,"39,698",Business enterprise sector,Ireland,250
Manufacturing & Other Industry,2005,Qtr 2,"67,628",Business enterprise sector,Ireland,350
Manufacturing & Other Industry,2005,Qtr 3,"21,871",Business enterprise sector,Ireland,575
Manufacturing & Other Industry,2005,Qtr 4,"50,883",Business enterprise sector,Ireland,350
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 1,"34,787",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 2,"53,964",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 3,"43,439",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2005,Qtr 4,"21,871",Business enterprise sector,Ireland,475
"Computer, Electronic & Optical Products",2005,Qtr 1,"90,883",Business enterprise sector,Ireland,125
"Computer, Electronic & Optical Products",2005,Qtr 2,"71,296",Business enterprise sector,Ireland,250
"Computer, Electronic & Optical Products",2005,Qtr 3,"61,761",Business enterprise sector,Ireland,250
"Computer, Electronic & Optical Products",2005,Qtr 4,"67,975",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2005,Qtr 1,"19,331",Business enterprise sector,Ireland,450
"Food, Drink & Tobacco",2005,Qtr 2,"45,697",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2005,Qtr 3,"78,994",Business enterprise sector,Ireland,400
"Food, Drink & Tobacco",2005,Qtr 4,"50,368",Business enterprise sector,Ireland,2225
"Textiles, Clothing, Footware & Leather",2005,Qtr 1,"67,423",Business enterprise sector,Ireland,400
"Textiles, Clothing, Footware & Leather",2005,Qtr 2,"25,368",Business enterprise sector,Ireland,475
"Textiles, Clothing, Footware & Leather",2005,Qtr 3,"69,829",Business enterprise sector,Ireland,350
"Textiles, Clothing, Footware & Leather",2005,Qtr 4,"60,514",Business enterprise sector,Ireland,475
Manufacturing & Other Industry,2006,Qtr 1,"69,832",Business enterprise sector,Ireland,250
Manufacturing & Other Industry,2006,Qtr 2,"19,867",Business enterprise sector,Ireland,475
Manufacturing & Other Industry,2006,Qtr 3,"50,522",Business enterprise sector,Ireland,200
Manufacturing & Other Industry,2006,Qtr 4,"93,759",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2006,Qtr 1,"58,830",Business enterprise sector,Ireland,450
"Agriculture, Fishing, Forestry, Mining & Quarrying",2006,Qtr 2,"68,188",Business enterprise sector,Ireland,150
"Agriculture, Fishing, Forestry, Mining & Quarrying",2006,Qtr 3,"81,496",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2006,Qtr 4,"70,130",Business enterprise sector,Ireland,250
"Computer, Electronic & Optical Products",2006,Qtr 1,"54,606",Business enterprise sector,Ireland,600
"Computer, Electronic & Optical Products",2006,Qtr 2,"43,340",Business enterprise sector,Ireland,450
"Computer, Electronic & Optical Products",2006,Qtr 3,"52,636",Business enterprise sector,Ireland,3175
"Computer, Electronic & Optical Products",2006,Qtr 4,"13,736",Business enterprise sector,Ireland,175
"Food, Drink & Tobacco",2006,Qtr 1,"35,611",Business enterprise sector,Ireland,175
"Food, Drink & Tobacco",2006,Qtr 2,"65,522",Business enterprise sector,Ireland,550
"Food, Drink & Tobacco",2006,Qtr 3,"72,988",Business enterprise sector,Ireland,225
"Food, Drink & Tobacco",2006,Qtr 4,"20,378",Business enterprise sector,Ireland,700
"Textiles, Clothing, Footware & Leather",2006,Qtr 1,"56,754",Business enterprise sector,Ireland,575
"Textiles, Clothing, Footware & Leather",2006,Qtr 2,"25,548",Business enterprise sector,Ireland,250
"Textiles, Clothing, Footware & Leather",2006,Qtr 3,"62,461",Business enterprise sector,Ireland,250
"Textiles, Clothing, Footware & Leather",2006,Qtr 4,"60,706",Business enterprise sector,Ireland,3175
Manufacturing & Other Industry,2007,Qtr 1,"34,015",Business enterprise sector,Ireland,800
Manufacturing & Other Industry,2007,Qtr 2,"70,454",Business enterprise sector,Ireland,150
Manufacturing & Other Industry,2007,Qtr 3,"28,498",Business enterprise sector,Ireland,4275
Manufacturing & Other Industry,2007,Qtr 4,"20,762",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2007,Qtr 1,"65,563",Business enterprise sector,Ireland,1500
"Agriculture, Fishing, Forestry, Mining & Quarrying",2007,Qtr 2,"62,713",Business enterprise sector,Ireland,325
"Agriculture, Fishing, Forestry, Mining & Quarrying",2007,Qtr 3,"45,843",Business enterprise sector,Ireland,275
"Agriculture, Fishing, Forestry, Mining & Quarrying",2007,Qtr 4,"44,793",Business enterprise sector,Ireland,125
"Computer, Electronic & Optical Products",2007,Qtr 1,"31,032",Business enterprise sector,Ireland,150
"Computer, Electronic & Optical Products",2007,Qtr 2,"14,833",Business enterprise sector,Ireland,1075
"Computer, Electronic & Optical Products",2007,Qtr 3,"40,014",Business enterprise sector,Ireland,2000
"Computer, Electronic & Optical Products",2007,Qtr 4,"54,381",Business enterprise sector,Ireland,125
"Food, Drink & Tobacco",2007,Qtr 1,"79,762",Business enterprise sector,Ireland,575
"Food, Drink & Tobacco",2007,Qtr 2,"20,855",Business enterprise sector,Ireland,2775
"Food, Drink & Tobacco",2007,Qtr 3,"36,666",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2007,Qtr 4,"11,148",Business enterprise sector,Ireland,275
"Textiles, Clothing, Footware & Leather",2007,Qtr 1,"21,970",Business enterprise sector,Ireland,875
"Textiles, Clothing, Footware & Leather",2007,Qtr 2,"24,940",Business enterprise sector,Ireland,700
"Textiles, Clothing, Footware & Leather",2007,Qtr 3,"45,486",Business enterprise sector,Ireland,1550
"Textiles, Clothing, Footware & Leather",2007,Qtr 4,"33,394",Business enterprise sector,Ireland,250
Manufacturing & Other Industry,2008,Qtr 1,"71,104",Business enterprise sector,Ireland,1000
Manufacturing & Other Industry,2008,Qtr 2,"16,182",Business enterprise sector,Ireland,2000
Manufacturing & Other Industry,2008,Qtr 3,"25,341",Business enterprise sector,Ireland,3000
Manufacturing & Other Industry,2008,Qtr 4,"28,835",Business enterprise sector,Ireland,575
"Agriculture, Fishing, Forestry, Mining & Quarrying",2008,Qtr 1,"12,819",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2008,Qtr 2,"16,641",Business enterprise sector,Ireland,3175
"Agriculture, Fishing, Forestry, Mining & Quarrying",2008,Qtr 3,"23,498",Business enterprise sector,Ireland,3050
"Agriculture, Fishing, Forestry, Mining & Quarrying",2008,Qtr 4,"12,449",Business enterprise sector,Ireland,4275
"Computer, Electronic & Optical Products",2008,Qtr 1,"29,354",Business enterprise sector,Ireland,5475
"Computer, Electronic & Optical Products",2008,Qtr 2,"19,326",Business enterprise sector,Ireland,125
"Computer, Electronic & Optical Products",2008,Qtr 3,"17,162",Business enterprise sector,Ireland,1000
"Computer, Electronic & Optical Products",2008,Qtr 4,"8,965",Business enterprise sector,Ireland,350
"Food, Drink & Tobacco",2008,Qtr 1,"22,198",Business enterprise sector,Ireland,1500
"Food, Drink & Tobacco",2008,Qtr 2,"29,450",Business enterprise sector,Ireland,5775
"Food, Drink & Tobacco",2008,Qtr 3,"31,503",Business enterprise sector,Ireland,125
"Food, Drink & Tobacco",2008,Qtr 4,"18,293",Business enterprise sector,Ireland,325
"Textiles, Clothing, Footware & Leather",2008,Qtr 1,"56,194",Business enterprise sector,Ireland,325
"Textiles, Clothing, Footware & Leather",2008,Qtr 2,"72,619",Business enterprise sector,Ireland,2200
"Textiles, Clothing, Footware & Leather",2008,Qtr 3,"21,361",Business enterprise sector,Ireland,600
"Textiles, Clothing, Footware & Leather",2008,Qtr 4,"39,587",Business enterprise sector,Ireland,5000
Manufacturing & Other Industry,2009,Qtr 1,"10,767",Business enterprise sector,Ireland,1000
Manufacturing & Other Industry,2009,Qtr 2,"28,833",Business enterprise sector,Ireland,1250
Manufacturing & Other Industry,2009,Qtr 3,"23,969",Business enterprise sector,Ireland,3975
Manufacturing & Other Industry,2009,Qtr 4,"34,697",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2009,Qtr 1,"38,407",Business enterprise sector,Ireland,350
"Agriculture, Fishing, Forestry, Mining & Quarrying",2009,Qtr 2,"17,330",Business enterprise sector,Ireland,350
"Agriculture, Fishing, Forestry, Mining & Quarrying",2009,Qtr 3,"12,592",Business enterprise sector,Ireland,350
"Agriculture, Fishing, Forestry, Mining & Quarrying",2009,Qtr 4,"17,317",Business enterprise sector,Ireland,925
"Computer, Electronic & Optical Products",2009,Qtr 1,"21,860",Business enterprise sector,Ireland,350
"Computer, Electronic & Optical Products",2009,Qtr 2,"14,797",Business enterprise sector,Ireland,600
"Computer, Electronic & Optical Products",2009,Qtr 3,"31,726",Business enterprise sector,Ireland,200
"Computer, Electronic & Optical Products",2009,Qtr 4,"13,730",Business enterprise sector,Ireland,225
"Food, Drink & Tobacco",2009,Qtr 1,"22,128",Business enterprise sector,Ireland,1925
"Food, Drink & Tobacco",2009,Qtr 2,"21,926",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2009,Qtr 3,"23,983",Business enterprise sector,Ireland,125
"Food, Drink & Tobacco",2009,Qtr 4,"15,077",Business enterprise sector,Ireland,250
"Textiles, Clothing, Footware & Leather",2009,Qtr 1,"18,110",Business enterprise sector,Ireland,4000
"Textiles, Clothing, Footware & Leather",2009,Qtr 2,"23,830",Business enterprise sector,Ireland,475
"Textiles, Clothing, Footware & Leather",2009,Qtr 3,"29,322",Business enterprise sector,Ireland,175
"Textiles, Clothing, Footware & Leather",2009,Qtr 4,"14,182",Business enterprise sector,Ireland,150
Manufacturing & Other Industry,2010,Qtr 1,"26,307",Business enterprise sector,Ireland,125
Manufacturing & Other Industry,2010,Qtr 2,"31,166",Business enterprise sector,Ireland,250
Manufacturing & Other Industry,2010,Qtr 3,"15,645",Business enterprise sector,Ireland,200
Manufacturing & Other Industry,2010,Qtr 4,"28,397",Business enterprise sector,Ireland,325
"Agriculture, Fishing, Forestry, Mining & Quarrying",2010,Qtr 1,"78,429",Business enterprise sector,Ireland,1150
"Agriculture, Fishing, Forestry, Mining & Quarrying",2010,Qtr 2,"21,961",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2010,Qtr 3,"74,368",Business enterprise sector,Ireland,1300
"Agriculture, Fishing, Forestry, Mining & Quarrying",2010,Qtr 4,"65,283",Business enterprise sector,Ireland,1000
"Computer, Electronic & Optical Products",2010,Qtr 1,"38,654",Business enterprise sector,Ireland,150
"Computer, Electronic & Optical Products",2010,Qtr 2,"33,316",Business enterprise sector,Ireland,4625
"Computer, Electronic & Optical Products",2010,Qtr 3,"38,043",Business enterprise sector,Ireland,1500
"Computer, Electronic & Optical Products",2010,Qtr 4,"41,484",Business enterprise sector,Ireland,1000
"Food, Drink & Tobacco",2010,Qtr 1,"28,944",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2010,Qtr 2,"15,752",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2010,Qtr 3,"26,310",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2010,Qtr 4,"17,403",Business enterprise sector,Ireland,850
"Textiles, Clothing, Footware & Leather",2010,Qtr 1,"35,228",Business enterprise sector,Ireland,175
"Textiles, Clothing, Footware & Leather",2010,Qtr 2,"14,042",Business enterprise sector,Ireland,750
"Textiles, Clothing, Footware & Leather",2010,Qtr 3,"21,237",Business enterprise sector,Ireland,250
"Textiles, Clothing, Footware & Leather",2010,Qtr 4,"22,539",Business enterprise sector,Ireland,325
Manufacturing & Other Industry,2011,Qtr 1,"25,611",Business enterprise sector,Ireland,2975
Manufacturing & Other Industry,2011,Qtr 2,"14,841",Business enterprise sector,Ireland,1175
Manufacturing & Other Industry,2011,Qtr 3,"18,551",Business enterprise sector,Ireland,4750
Manufacturing & Other Industry,2011,Qtr 4,"26,460",Business enterprise sector,Ireland,375
"Agriculture, Fishing, Forestry, Mining & Quarrying",2011,Qtr 1,"33,471",Business enterprise sector,Ireland,1025
"Agriculture, Fishing, Forestry, Mining & Quarrying",2011,Qtr 2,"48,469",Business enterprise sector,Ireland,1200
"Agriculture, Fishing, Forestry, Mining & Quarrying",2011,Qtr 3,"35,959",Business enterprise sector,Ireland,1325
"Agriculture, Fishing, Forestry, Mining & Quarrying",2011,Qtr 4,"33,834",Business enterprise sector,Ireland,200
"Computer, Electronic & Optical Products",2011,Qtr 1,"12,269",Business enterprise sector,Ireland,250
"Computer, Electronic & Optical Products",2011,Qtr 2,"15,545",Business enterprise sector,Ireland,250
"Computer, Electronic & Optical Products",2011,Qtr 3,"19,992",Business enterprise sector,Ireland,250
"Computer, Electronic & Optical Products",2011,Qtr 4,"29,968",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2011,Qtr 1,"22,465",Business enterprise sector,Ireland,725
"Food, Drink & Tobacco",2011,Qtr 2,"27,931",Business enterprise sector,Ireland,600
"Food, Drink & Tobacco",2011,Qtr 3,"14,583",Business enterprise sector,Ireland,1325
"Food, Drink & Tobacco",2011,Qtr 4,"23,412",Business enterprise sector,Ireland,2100
"Textiles, Clothing, Footware & Leather",2011,Qtr 1,"27,336",Business enterprise sector,Ireland,375
"Textiles, Clothing, Footware & Leather",2011,Qtr 2,"31,180",Business enterprise sector,Ireland,3400
"Textiles, Clothing, Footware & Leather",2011,Qtr 3,"38,500",Business enterprise sector,Ireland,2900
"Textiles, Clothing, Footware & Leather",2011,Qtr 4,"32,644",Business enterprise sector,Ireland,475
Manufacturing & Other Industry,2012,Qtr 1,"33,329",Business enterprise sector,Ireland,250
Manufacturing & Other Industry,2012,Qtr 2,"26,998",Business enterprise sector,Ireland,250
Manufacturing & Other Industry,2012,Qtr 3,"24,975",Business enterprise sector,Ireland,425
Manufacturing & Other Industry,2012,Qtr 4,"23,672",Business enterprise sector,Ireland,225
"Agriculture, Fishing, Forestry, Mining & Quarrying",2012,Qtr 1,"39,060",Business enterprise sector,Ireland,350
"Agriculture, Fishing, Forestry, Mining & Quarrying",2012,Qtr 2,"23,831",Business enterprise sector,Ireland,2850
"Agriculture, Fishing, Forestry, Mining & Quarrying",2012,Qtr 3,"25,538",Business enterprise sector,Ireland,250
"Agriculture, Fishing, Forestry, Mining & Quarrying",2012,Qtr 4,"21,638",Business enterprise sector,Ireland,625
"Computer, Electronic & Optical Products",2012,Qtr 1,"25,460",Business enterprise sector,Ireland,750
"Computer, Electronic & Optical Products",2012,Qtr 2,"13,421",Business enterprise sector,Ireland,475
"Computer, Electronic & Optical Products",2012,Qtr 3,"19,141",Business enterprise sector,Ireland,4250
"Computer, Electronic & Optical Products",2012,Qtr 4,"20,647",Business enterprise sector,Ireland,700
"Food, Drink & Tobacco",2012,Qtr 1,"38,927",Business enterprise sector,Ireland,600
"Food, Drink & Tobacco",2012,Qtr 2,"45,322",Business enterprise sector,Ireland,250
"Food, Drink & Tobacco",2012,Qtr 3,"15,896",Business enterprise sector,Ireland,500
"Food, Drink & Tobacco",2012,Qtr 4,"13,877",Business enterprise sector,Ireland,350
"Textiles, Clothing, Footware & Leather",2012,Qtr 1,"13,815",Business enterprise sector,Ireland,200
"Textiles, Clothing, Footware & Leather",2012,Qtr 2,"15,239",Business enterprise sector,Ireland,250
"Textiles, Clothing, Footware & Leather",2012,Qtr 3,"17,990",Business enterprise sector,Ireland,1000
"Textiles, Clothing, Footware & Leather",2012,Qtr 4,"19,950",Business enterprise sector,Ireland,175
Manufacturing & Other Industry,2013,Qtr 1,"22,775",Business enterprise sector,Ireland,200
Manufacturing & Other Industry,2013,Qtr 2,"23,009",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2013,Qtr 3,"14,924",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2013,Qtr 4,"24,673",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2013,Qtr 1,"23,794",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2013,Qtr 2,"35,027",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2013,Qtr 3,"22,532",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2013,Qtr 4,"14,359",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2013,Qtr 1,"13,093",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2013,Qtr 2,"15,929",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2013,Qtr 3,"25,700",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2013,Qtr 4,"15,566",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2013,Qtr 1,"22,766",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2013,Qtr 2,"42,074",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2013,Qtr 3,"15,857",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2013,Qtr 4,"11,663",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2013,Qtr 1,"14,187",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2013,Qtr 2,"58,092",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2013,Qtr 3,"16,759",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2013,Qtr 4,"36,923",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2014,Qtr 1,"23,129",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2014,Qtr 2,"20,129",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2014,Qtr 3,"33,995",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2014,Qtr 4,"41,632",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2014,Qtr 1,"62,238",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2014,Qtr 2,"23,477",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2014,Qtr 3,"12,949",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2014,Qtr 4,"22,691",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2014,Qtr 1,"40,134",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2014,Qtr 2,"14,342",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2014,Qtr 3,"11,376",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2014,Qtr 4,"14,079",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2014,Qtr 1,"57,246",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2014,Qtr 2,"62,551",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2014,Qtr 3,"17,222",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2014,Qtr 4,"30,907",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2014,Qtr 1,"22,675",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2014,Qtr 2,"20,662",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2014,Qtr 3,"33,226",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2014,Qtr 4,"40,192",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2015,Qtr 1,"64,288",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2015,Qtr 2,"11,943",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2015,Qtr 3,"22,672",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2015,Qtr 4,"38,481",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2015,Qtr 1,"13,704",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2015,Qtr 2,"11,460",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2015,Qtr 3,"13,949",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2015,Qtr 4,"55,973",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2015,Qtr 1,"64,051",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2015,Qtr 2,"17,701",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2015,Qtr 3,"31,256",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2015,Qtr 4,"23,957",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2015,Qtr 1,"21,347",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2015,Qtr 2,"33,185",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2015,Qtr 3,"35,966",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2015,Qtr 4,"64,499",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2015,Qtr 1,"12,177",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2015,Qtr 2,"18,802",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2015,Qtr 3,"18,249",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2015,Qtr 4,"20,673",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2016,Qtr 1,"13,166",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2016,Qtr 2,"14,686",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2016,Qtr 3,"46,685",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2016,Qtr 4,"10,243",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2016,Qtr 1,"12,867",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2016,Qtr 2,"11,255",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2016,Qtr 3,"12,509",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2016,Qtr 4,"13,648",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2016,Qtr 1,"53,417",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2016,Qtr 2,"72,104",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2016,Qtr 3,"19,482",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2016,Qtr 4,"32,386",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2016,Qtr 1,"10,016",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2016,Qtr 2,"23,052",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2016,Qtr 3,"20,275",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2016,Qtr 4,"68,452",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2016,Qtr 1,"30,529",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2016,Qtr 2,"35,432",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2016,Qtr 3,"6,542",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2016,Qtr 4,"11,510",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2017,Qtr 1,"13,613",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2017,Qtr 2,"27,527",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2017,Qtr 3,"19,606",Business enterprise sector,Ireland,
Manufacturing & Other Industry,2017,Qtr 4,"14,090",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2017,Qtr 1,"12,460",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2017,Qtr 2,"25,954",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2017,Qtr 3,"12,988",Business enterprise sector,Ireland,
"Agriculture, Fishing, Forestry, Mining & Quarrying",2017,Qtr 4,"18,611",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2017,Qtr 1,"18,683",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2017,Qtr 2,"22,599",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2017,Qtr 3,"13,095",Business enterprise sector,Ireland,
"Computer, Electronic & Optical Products",2017,Qtr 4,"14,734",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2017,Qtr 1,"50,748",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2017,Qtr 2,"10,621",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2017,Qtr 3,"41,081",Business enterprise sector,Ireland,
"Food, Drink & Tobacco",2017,Qtr 4,"12,827",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2017,Qtr 1,"11,300",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2017,Qtr 2,"10,840",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2017,Qtr 3,"13,869",Business enterprise sector,Ireland,
"Textiles, Clothing, Footware & Leather",2017,Qtr 4,"54,341",Business enterprise sector,Ireland,
